SPEC;UrunTipi;Kalinlik;Genislik;LevhaBoyu;Grade;MamulKodu;Yuzey;Kaplama;"HedefKaplama
g/m2";#NAME?;#NAME?;Alt Astar Klnlk;Alt Boya Klnlk;AltBoya;Üst Astar Klnlk;Üst Boya Klnlk;ÜstBoya;Backcoat Klnlk;CRF Kalinlik;Ticari
004532001;GCR;1;68;0;DX51D+Z;GCRSP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0;
004533001;GCR;1,4;1250;2500;DX51D+Z;GCRCP;A;Z;80;0,13;0,13;0;0;;0;0;;0;1,43;
004534001;GCR;1;71;0;DX51D+Z;GCRSP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0;
004535001;GCR;1;115;0;DX51D+Z;GCRSP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0;
004536001;GCR;1;56;0;DX51D+Z;GCRSP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0;
004538001;GCR;1,4;1250;6000;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;1,42;
004539001;GCR;1;76;0;DX51D+Z;GCRSP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0;
004546001;GCR;2;1250;6000;DX51D+Z;GCRCP;A;Z;70;0,15;0,15;0;0;;0;0;;0;2,04;
004553001;GCR;1;1250;3000;DX51D+Z;GCRCP;A;Z;100;0,08;0,08;0;0;;0;0;;0;1,01;
004554001;GCR;0,6;1250;1910;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,6;
004561001;GCR;1;1250;2400;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;1,01;
004564001;GCR;0,5;115;0;DX51D+Z;GCRSP;A;Z;100;0,05;0,05;0;0;;0;0;;0;0;
004566001;GCR;0,5;50;0;DX51D+Z;GCRSP;A;Z;100;0,05;0,05;0;0;;0;0;;0;0;
004571001;GCR;1,5;1250;6000;DX51D+Z;GCRCP;A;Z;100;0,13;0,13;0;0;;0;0;;0;1,52;
004577001;GCR;1,8;1250;6000;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;1,83;
004579001;GCR;2;1250;3800;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;2,03;
004580001;GCR;0,5;1240;2000;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,5;
004581001;GCR;1;1250;2000;DX51D+Z;GCRCP;A;Z;100;0,08;0,08;0;0;;0;0;;0;1,01;
004583001;GCR;0,8;1000;1815;DX51D+Z;GCRCP;A;Z;100;0,06;0,06;0;0;;0;0;;0;0,8;
004585001;GCR;1;72;0;DX51D+Z;GCRSP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0;
004586001;GCR;1;79;0;DX51D+Z;GCRSP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0;
004588001;GCR;1;128;0;DX51D+Z;GCRSP;A;Z;100;0,07;0,07;0;0;;0;0;;0;0;
004595001;GCR;1,35;1250;2500;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;1,37;
004601001;GCR;0,37;1250;2375;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,37;
004688001;GCR;0,45;1050;1680;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,45;
004689001;GCR;0,37;1250;1650;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,37;
004690001;GCR;0,37;1250;1200;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,37;
004691001;GCR;0,42;1250;1200;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,42;
004692001;GCR;0,8;1000;1000;DX51D+Z;GCRCP;A;Z;100;0,06;0,06;0;0;;0;0;;0;0,8;
004707001;GCR;0,5;123;0;DX51D+Z;GCRSP;A;Z;100;0,05;0,05;0;0;;0;0;;0;0;
004713001;GCR;0,42;1240;2275;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,42;
004742001;GCR;1,2;1200;2400;DX51D+Z;GCRCP;A;Z;100;0,08;0,08;0;0;;0;0;;0;1,21;
004755001;GCR;2;1250;2400;DX51D+Z;GCRCP;A;Z;100;0,15;0,15;0;0;;0;0;;0;2,03;
004777001;GCR;2;1200;3200;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;2,03;
004895001;GCR;0,6;1000;3000;DX51D+Z;GCRCP;A;Z;100;0,05;0,05;0;0;;0;0;;0;0,6;
004913001;GCR;2;1200;3000;DX51D+Z;GCRCP;A;Z;100;0,14;0,14;0;0;;0;0;;0;2,03;
004933001;GCR;0,42;1240;2375;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,42;
004997001;GCR;1,2;1200;6000;DX51D+Z;GCRCP;A;Z;100;0,08;0,08;0;0;;0;0;;0;1,21;
005007001;GCR;0,4;1000;3780;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,4;
005008001;GCR;0,4;1000;2530;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,4;
005009001;GCR;0,4;1000;2850;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,4;
005010001;GCR;0,45;1250;2530;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,45;
005011001;GCR;0,45;1240;3780;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,45;
005012001;GCR;0,45;1240;2850;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,45;
005014001;GCR;0,45;1240;2100;DX51D+Z;GCRCP;A;Z;100;0;0;0;0;;0;0;;0;0,45;
